id,artist,name,genre,secondary_genres,tier
82,Kelly Clarkson,People Like Us,Pop,Pop,1
83,Justin Bieber,Beauty and a Beat,Pop,"Pop, Music, Dance, Vocal, Teen Pop, Rock",1
84,Hot Chelle Rae,Hung Up,Pop,"Pop, Music, Rock",1
85,Neon Trees,Everybody Talks,Rock,"Alternative,_Music,Rock,_Adult Alternative",1
86,Usher,Yeah!,Pop,"Pop, Music, Electronic, R&B/Soul, Hip-Hop/Rap, Hip-Hop, Dance",1
87,Gym Class Heroes,Ass Back Home,Dance,"Dance, Music, Electronic",1
88,Psy,Gangnam Style,Pop,"Pop, Music, K-Pop, World, Rock",1
89,Alicia Keys,Girl on Fire,R & B,"R&B/Soul, Music, Pop, Pop/Rock, Contemporary R&B, Rock, Singer/Songwriter, Contemporary Singer/Songwriter",1
90,Jason Derulo,It Girl,Pop,"Pop, Music, Rock, R&B/Soul, Contemporary R&B",1
91,Katy Perry,Part Of Me,Pop,Pop,1
92,Prince,Breakfast Can Wait,R & B,"R&B/Soul, Music, Pop",1
93,Coolio,Gangsta's Paradise,Hip Hop,"Hip-Hop/Rap, Music, Electronic, Dirty South, Rap, Hip-Hop, Hardcore Rap, West Coast Rap",1
94,Demi Lovato,Made in the USA,Pop,"Pop, Music, Rock, Teen Pop, Dance",1
95,The Notorious B.I.G,Hypnotize,Hip Hop,Hip-Hop/Rap,1
96,Ariana Grande,Right There,Pop,"Pop, Music, R&B/Soul, Contemporary R&B, Dance, Rock, Vocal",1
97,All Time Low,A Love Like War,Rock,Alternative,1
98,Shakira,Hips Don't Lie,Pop,Pop,1
99,Lil Wayne,Rich As F**k,Hip Hop,Hip-Hop/Rap,1
100,Miranda Lambert,Gunpowder & Lead,Country,Country,1
101,Florida Georgia Line,Get Your Shine On,Country,Country,1
102,Buckcherry,Crazy Bitch,Rock,"Rock, Music",1
103,Ariana Grande,Honeymoon Avenue,Pop,"Pop, Music, R&B/Soul, Contemporary R&B, Dance, Rock, Vocal",1
104,A$AP Rocky,F**kin' Problems,Hip Hop,Hip-Hop/Rap,1
105,Miranda Lambert,Mama's a Broken Heart,Country,Country,1
106,Kip Moore,Hey Pretty Girl,Country,"Country, Music, Rock, Arena Rock, Southern Rock, Contemporary Country, Roots Rock",1
107,Michael Buble,Close Your Eyes,Pop,"Pop, Music",1
108,Kansas,Carry on Wayward Son,Rock,"Rock, Music, Pop, Pop/Rock, Prog-Rock/Art Rock, Arena Rock",1
109,Eminem,Lose Yourself,Hip Hop,"Hip-Hop/Rap, Music, Hip-Hop, Hardcore Rap",1
110,The Weeknd,Live For,R & B, R&B/Soul,1
111,Ram Jam,Black Betty,Rock,"Rock, Music, Hard Rock, Blues-Rock, Arena Rock, Metal, Southern Rock",1
112,A$AP Rocky,Wild for the Night,Hip Hop,Hip-Hop/Rap,1
113,Maroon 5,Payphone,Pop,"Pop, Music",1
114,Kelly Clarkson,Stronger ,Pop,"Pop, Music, Pop/Rock, Adult Contemporary, Rock",1
115,Katy Perry,Firework,Pop,"Pop, Music, Rock, Teen Pop, Pop/Rock",1
116,Katy Perry,E.T,Pop,Pop,1
117,Bruno Mars,Grenade,Pop,"Pop, Music, Rock",1
118,Cee Lo Green,F**k you!,R & B,"R&B/Soul, Music, Hip-Hop/Rap, Rap, Contemporary R&B, Neo-Soul, Rock",1
119,Nicki Minaj,Super Bass,R & B,"Hip-Hop/Rap, Music, R&B/Soul, Contemporary R&B, Rock, Rap",1
120,Maroon 5,Moves like Jagger,Pop,"Pop, Music, Rock, Pop/Rock, Adult Alternative",1
121,The Black Eyed Peas,Just Can't Get Enough,Pop,"Pop, Music, R&B/Soul, Contemporary R&B, Hip-Hop/Rap, Rap, Dance, Rock, Electronic",1
122,Jennifer Lopez,On the Floor,Pop,"Pop, Music",1
