id,Artist,name,genre,"secondary_genres",Tier
10094,Joe,I Wanna Know,R & B,"R&B/Soul, Music",1
10095,Jonas Brothers,Burnin' Up,Pop,"Rock, Music, Pop, Pop/Rock, Teen Pop",1
10096,Jonas Brothers,Lovebug,Pop,"Rock, Music, Pop, Pop/Rock, Teen Pop",1
10097,Jonas Brothers,S.O.S.,Pop,"Rock, Music, Pop, Pop/Rock, Teen Pop",1
10098,Jonas Brothers,Year 3000,Pop,"Rock, Music, Pop, Pop/Rock, Teen Pop",1
10099,Jordin Sparks,Tattoo,Pop,"Pop, Music, Rock, R&B/Soul, Contemporary R&B",1
10100,Josh Turner,Long Black Train,Country,"Country, Music, Americana, Contemporary Country, Urban Cowboy",1
10101,Justin Bieber,Love Me,Pop,"Pop, Music, Dance, Teen Pop, R&B/Soul, Contemporary R&B, Rock",1
10102,Kansas,Dust In The Wind,Rock,"Rock, Music, Pop, Pop/Rock, Prog-Rock/Art Rock, Arena Rock",1
10103,Kanye West,Heartless,Hip Hop,"Hip-Hop/Rap, Music, R&B/Soul",1
10104,Kanye West,Stronger,Hip Hop,"Hip-Hop/Rap, Music, Alternative Rap, East Coast Rap",1
10105,Katy Perry,I Kissed A Girl,Pop,"Pop, Music, Teen Pop, Pop/Rock",1
10106,Keith Urban,Making Memories of Us,Country,"Country, Music, Honky Tonk, Contemporary Country",1
10107,Kelly Clarkson,Never Again,Pop,"Pop, Music, Rock, Adult Alternative, Pop/Rock, Adult Contemporary",1
10108,Kenny Chesney,I Go Back,Country,"Country, Music, Urban Cowboy, Contemporary Country",1
10109,KERI HILSON,ENERGY,R & B,"R&B/Soul, Music, Rock, Contemporary R&B",1
10110,Keyshia Cole,Let It Go,R & B,"R&B/Soul, Music, Rock",1
10111,Kriss Kross,Jump,Hip Hop,"Pop, Music, Hip-Hop/Rap, Hip-Hop, Rap",1
10112,Lady Antebellum,Need You Now,Country,"Country, Music, Contemporary Country, Rock, Honky Tonk",1
10113,Lady Gaga,Alejandro,Dance,"Pop, Music, Rock, R&B/Soul, Dance",1
10114,Lady Gaga,Bad Romance,Pop,"Pop, Music, Rock, R&B/Soul, Dance",1
10115,Lady Gaga,Just Dance,Dance,"Pop, Music, Rock, Dance, R&B/Soul",1
10116,Lady Gaga,Love Game,Dance,"Pop, Music, Rock, Dance, R&B/Soul",1
10117,Lady Gaga,Paparazzi,Pop,"Pop, Music, Rock, Dance, R&B/Soul",1
10118,Lady Gaga,Poker Face,R & B,"Pop, Music, Rock, Dance, R&B/Soul",1
10119,Lady GaGa,TELEPHONE,Dance,"Pop, Music, Dance, R&B/Soul, Rock",1
10120,Lady GaGa,You And I,R & B,"Pop, Music, Pop/Rock, Electronic, R&B/Soul, Rock, Dance",1
10121,Lauryn Hill,Everything Is Everything,Hip Hop,"Alternative Rap, Music, Hip-Hop/Rap, Rap, R&B/Soul, Soul, Neo-Soul, Contemporary R&B",1
10122,Lloyd,Get It Shawty,R & B,"R&B/Soul, Music, Rock, Contemporary R&B",1
10123,Los Lobos,La Bamba,Pop,"Rock, Music, Tex-Mex, Roots Rock, Adult Alternative, Country, Americana, Arena Rock, Alternative, College Rock",1
10124,Ludacris,Stand Up,Hip Hop,"Hip-Hop/Rap, Music, Dirty South",1
10125,Lyfe Jennings,Must Be Nice,R & B,"R&B/Soul, Music, Soul, Neo-Soul, Contemporary R&B",1
10126,Marc Anthony,I Need To Know,Pop,"Pop, Music, Latino, Pop Latino",1
10127,Marc Anthony,You Sang To Me,Pop,"Pop, Music, Latino, Pop Latino",1
10128,Mariah Carey,Always Be My Baby,Pop,"Pop, Music, R&B/Soul, Contemporary R&B, Rock, Electronic, Dance, Adult Contemporary",1
10129,Marvin Gaye,Let's Get It On,R & B,"R&B/Soul, Music, Pop, Pop/Rock, Funk, Soul, Motown, Quiet Storm, Contemporary R&B, Soft Rock, Rock",1
10130,Matchbox Twenty,How Far We`ve Come,Rock,"Pop, Music, Rock, American Trad Rock, Adult Alternative, Pop/Rock",1
10131,Metro Station,Seventeen Forever,Pop,"Alternative, Music, Pop, Dance, Rock, Adult Alternative",1
10132,Metro Station,Shake It,Dance,"Alternative, Music, Pop, Dance, Rock, Adult Alternative",1
10133,Michael Jackson,Hold My Hand,Pop,"Pop, Music",1
10134,Miranda Lambert,More Like Her,Country,"Country, Music, Honky Tonk, Contemporary Country, Traditional Country",1
10135,Miranda Lambert,Over You,Country,"Country, Music, Honky Tonk, Contemporary Country, Traditional Country",1
10136,Natasha Bedingfield,Pocketful of Sunshine,Pop,"Pop, Music, Rock, Teen Pop, Dance, Adult Contemporary",1
10137,Natasha Bedingfield,Unwritten,Pop,"Pop, Music, Adult Contemporary, Dance",1
10138,NELLY FURTADO,SAY IT RIGHT,Dance,"Pop, Music, Rock, Adult Alternative, R&B/Soul, Pop/Rock, Dance",1
10139,Nelly Furtado,Turn Off The Light,R & B,"Pop, Music, Electronic, R&B/Soul, Easy Listening, Bop, Rock, Singer/Songwriter, Adult Alternative",1
10140,Nena,99 Red Balloons,Pop,"Pop/Rock, Music, Pop, Dance, Alternative, New Wave, Rock, World",1
10141,New Kids On The Block,Step By Step,Pop,"Pop, Music, Dance, R&B/Soul, Teen Pop",1
10142,Ne-Yo,Because Of You,R & B,"R&B/Soul, Music, Hip-Hop/Rap, Contemporary R&B, Rap",1
10143,Nirvana,Smells Like Teen Spirit,Rock,"Alternative, Music, Rock, Adult Alternative, Grunge",1
10144,No Mercy,Where Do You Go,Pop,"Pop, Music, Rock, Dance, Adult Contemporary",1
10145,Norah Jones,Come Away With Me,Pop,"Pop, Music, Vocal, Vocal Jazz, Jazz, Contemporary Jazz, Singer/Songwriter, Contemporary Singer/Songwriter",1
10146,One Direction,Little Things,Pop,"Pop, Music, Teen Pop, Dance, Pop/Rock, Rock, World",1
10147,One Republic,All The Right Moves,Pop,"Pop, Music, Pop/Rock, Rock",1
10148,One Republic,Apologize,Pop,"Rock, Music, Adult Alternative",1
10149,One Republic,Secrets,Pop,"Pop, Music, Pop/Rock, Rock",1
10150,Panic! At The Disco,I Write Sins Not Tragedies,Pop,"Alternative, Music, Rock, Punk",1
10151,Paul McCartney,Maybe I'm Amazed,Pop,"Rock, Music, Pop, Pop/Rock, Soft Rock, Adult Contemporary, Rock & Roll, Arena Rock",1
10152,Paula Abdul,Straight Up,Pop,"Rock, Music, Dance, R&B/Soul, Pop, Adult Contemporary, Electronic",1
10153,Paulina Rubio,Ni Una Sola Palabra,Pop,"Pop Latino, Music, Latino",1
10154,Pharrell feat. Jay-Z,Frontin,Hip Hop,"Hip-Hop/Rap, Music",1
10155,Pink,Just Like a Pill,Pop,"Pop, Music, Rock, Dance, Electronic, R&B/Soul, Pop/Rock, Contemporary R&B, Teen Pop",1
10156,Pink,So What,R & B,"Pop, Music, Rock, Dance, Electronic, R&B/Soul, Pop/Rock, Contemporary R&B, Teen Pop",1
10157,Pitbull ,Rain Over Me,Dance,"Hip-Hop/Rap, Music",1
10158,Prince Royce,Stand By Me,Pop,"Pop, Music, Latino",1
10159,Prodigy,Fire starter,Dance,"Electronic, Music, Dance, Breakbeat, Techno, Electronica, Rock",1
10160,Rihanna,Hate That I Love You,Dance,"R&B/Soul, Music, Contemporary R&B, Dance, Rock",1
10161,Rihanna,Russian Roulette,R & B,"Pop, Music, R&B/Soul, Hip-Hop/Rap, Rap, Dance, Contemporary R&B, Rock",1
10162,Rihanna,Stay,R & B,"Pop, Music, R&B/Soul, Rock, Contemporary R&B, Dance",1
10163,Rise Against,Make It Stop,Rock,"Rock, Music, Hard Rock, Alternative, Punk",1
10164,Rise Against,Satellite,Rock,"Rock, Music, Hard Rock, Alternative, Punk",1
10165,Rise Against,Savior,Rock,"Rock, Music, Alternative, Punk, Hard Rock",1
10166,Rockwell,Somebodys Watching Me,R & B,"R&B/Soul, Music",1
10167,Santana,Oye Como Va,Rock,"Rock, Music, Jazz, Blues-Rock, Hard Rock, Fusion, Pop, Pop/Rock, Arena Rock",1
