id,Artist,name,genre,secondary_genres,tier
83,Justin Bieber,Beauty and a Beat,Pop,"Pop, Music, Dance, Vocal, Teen Pop, Rock",2
84,Hot Chelle Rae,Hung Up,Pop,"Pop, Music, Rock",2
85,Neon Trees,Everybody Talks,Rock,"Alternative,¾Music,Rock,¾Adult Alternative",2
86,Usher,Yeah!,Pop,"Pop, Music, Electronic, R&B/Soul, Hip-Hop/Rap, Hip-Hop, Dance",2
87,Gym Class Heroes,Ass Back Home,Dance,"Dance, Music, Electronic",2
88,Psy,Gangnam Style,Pop,"Pop, Music, K-Pop, World, Rock",2
89,Alicia Keys,Girl on Fire,R & B,"R&B/Soul, Music, Pop, Pop/Rock, Contemporary R&B, Rock, Singer/Songwriter, Contemporary Singer/Songwriter",2
90,Jason Derulo,It Girl,Pop,"Pop, Music, Rock, R&B/Soul, Contemporary R&B",2
91,Katy Perry,Part Of Me,Pop,Pop,2
92,Prince,Breakfast Can Wait,R & B,"R&B/Soul, Music, Pop",2
93,Coolio,Gangsta's Paradise,Hip Hop,"Hip-Hop/Rap, Music, Electronic, Dirty South, Rap, Hip-Hop, Hardcore Rap, West Coast Rap",2
94,Demi Lovato,Made in the USA,Pop,"Pop, Music, Rock, Teen Pop, Dance",2
95,The Notorious B.I.G,Hypnotize,Hip Hop,Hip-Hop/Rap,2
96,Ariana Grande,Right There,Pop,"Pop, Music, R&B/Soul, Contemporary R&B, Dance, Rock, Vocal",2
97,All Time Low,A Love Like War,Rock,Alternative,2
98,Shakira,Hips Don't Lie,Pop,Pop,2
99,Lil Wayne,Rich As F**k,Hip Hop,Hip-Hop/Rap,2
100,Miranda Lambert,Gunpowder & Lead,Country,Country,2
101,Florida Georgia Line,Get Your Shine On,Country,Country,2
102,Buckcherry,Crazy Bitch,Rock,"Rock, Music",2
103,Ariana Grande,Honeymoon Avenue,Pop,"Pop, Music, R&B/Soul, Contemporary R&B, Dance, Rock, Vocal",2
104,A$AP Rocky,F**kin' Problems,Hip Hop,Hip-Hop/Rap,2
105,Miranda Lambert,Mama's a Broken Heart,Country,Country,2
106,Kip Moore,Hey Pretty Girl,Country,"Country, Music, Rock, Arena Rock, Southern Rock, Contemporary Country, Roots Rock",2
107,Michael Buble,Close Your Eyes,Pop,"Pop, Music",2
108,Kansas,Carry on Wayward Son,Rock,"Rock, Music, Pop, Pop/Rock, Prog-Rock/Art Rock, Arena Rock",2
109,Eminem,Lose Yourself,Hip Hop,"Hip-Hop/Rap, Music, Hip-Hop, Hardcore Rap",2
110,The Weeknd,Live For,R & B, R&B/Soul,2
